interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
940,945,1,0,1.82,0,0,24,0,0,0,0.36,53.39,5,10.36,53,0
940,945,1,0,,0,0,25,0,0,0,,,0,,,
940,945,1,0,16.97,0,0,26,0,0,0,3.39,17.5,15,10.33,17.11,0
940,945,1,0,,0,0,27,0,0,0,,,0,,,
940,945,1,0,0.51,0,0,28,0,0,0,0.1,177.19,5,11.11,176.83,0
940,945,1,6,66.11,0,2,3,0,0,0,8.78,36.59,218.18,18.15,36.39,0
940,945,1,2,37.33,0,0,4,4,4,2,4.97,64.34,226.47,18.92,64.07,0
940,945,1,0,88.64,0,2,5,0,0,0,7.06,44.17,69.02,3.62,43.07,46
940,945,1,0,,0,0,6,0,0,0,,,0,,,
940,945,1,1,15.37,0,0,7,0,0,0,2.05,35.32,53,19.63,35.12,0
940,945,1,0,19.8,2,0,8,2,2,1,2.62,32.06,62.97,19.97,31.85,0
940,945,1,0,86.93,0,1,9,1,1,1,8.66,33.36,74.6,5.27,32.47,34
945,950,1,0,28.41,2,0,1,9,9,3,3.78,66.57,182.6,19.37,66.35,0
945,950,1,0,27.79,2,0,10,2,2,3,3.7,95.6,260.87,19.68,95.31,0
945,950,1,0,63.22,0,3,11,1,1,0,4.17,16.37,47.99,9.52,15.95,10
945,950,1,0,20.82,0,2,12,0,0,4,2.73,19.92,38.92,18.97,19.7,0
945,950,1,1,25.41,0,4,13,0,0,0,3.38,66.2,155.1,18.5,65.99,0
945,950,1,0,16.07,0,0,14,2,2,1,3.21,96.91,148.78,19.15,96.7,0
945,950,1,0,90.56,0,1,15,1,1,0,7.24,179.85,130.96,1.63,177.4,111
945,950,1,4,15.89,0,0,16,0,0,0,3.17,82.87,126.33,19.24,82.67,0
945,950,1,0,11.94,1,0,17,1,1,3,1.58,45.6,50.59,18.68,45.43,0
945,950,1,0,82.9,0,3,18,1,1,0,6.62,125.46,117.64,2.29,123.72,94
945,950,1,0,3.54,0,0,19,0,0,0,0.71,15.46,5,18.54,15.24,0
945,950,1,0,28.6,0,3,2,0,0,0,1.89,18.33,40.63,15.72,18.08,5
945,950,1,0,11.77,0,0,20,1,1,0,2.35,97.21,110,19.28,97,0
945,950,1,0,2.75,1,0,21,0,0,0,0.55,166.35,27,11.83,166.01,0
945,950,1,0,4.8,0,0,22,0,0,0,0.96,18.56,5,11.43,18.21,0
945,950,1,0,8.24,0,1,23,0,0,0,3.22,14.63,7.25,12.3,14.31,0
945,950,1,0,1.82,0,0,24,0,0,0,0.36,53.79,5,10.28,53.41,0
945,950,1,0,,0,0,25,0,0,0,,,0,,,
945,950,1,0,16.97,0,0,26,0,0,0,3.39,19.37,15,9.33,18.94,0
945,950,1,0,,0,0,27,0,0,0,,,0,,,
945,950,1,0,0.51,0,0,28,0,0,0,0.1,173,5,11.37,172.65,0
945,950,1,6,57.29,0,1,3,0,0,0,7.62,37.11,189.06,17.9,36.9,0
945,950,1,1,34.15,3,0,4,6,6,4,4.53,65.13,207.14,18.69,64.81,0
945,950,1,0,107.29,0,3,5,0,0,0,8.54,43.04,83.55,3.71,41.97,50
945,950,1,0,0.46,0,1,6,0,0,0,0.01,29.17,0.25,3.93,28.15,0
945,950,1,3,12.25,0,0,7,0,0,0,1.62,35.55,42.23,19.51,35.34,0
945,950,1,0,20.1,2,0,8,1,1,2,2.66,32.36,63.92,19.78,32.14,0
945,950,1,0,90.06,0,2,9,2,2,1,8.89,53.65,77.29,3.27,52.67,44
950,955,1,0,27.38,2,0,1,5,5,3,3.64,66.36,175.96,19.43,66.15,0
950,955,1,0,27.76,3,0,10,2,2,1,3.7,95.45,260.53,19.71,95.22,0
950,955,1,0,76.6,0,1,11,1,1,0,5.1,26.69,58.14,5.84,26.01,22
950,955,1,0,13.58,0,0,12,0,0,3,1.79,19.36,25.39,19.53,19.12,0
950,955,1,0,27.88,0,3,13,0,0,0,3.71,66.67,170.22,18.37,66.45,0
950,955,1,0,15.35,1,0,14,2,2,4,3.06,96.46,142.07,19.24,96.26,0
950,955,1,0,93.58,0,4,15,2,2,4,7.39,109.66,135.33,2.67,110.5,98
950,955,1,4,13.14,0,0,16,2,2,0,2.62,82.08,104.45,19.42,81.88,0
950,955,1,0,10.79,1,0,17,1,1,1,1.43,46.12,45.72,18.47,45.91,0
