,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_traveltime,edge_waitingTime
129,920.0,925.0,1.0,0.0,5.46,0.0,0.0,25.0,1.0,1.0,0.0,1.09,31.08,15.0,17.8,30.86,0.0
130,920.0,925.0,1.0,0.0,1.96,0.0,0.0,26.0,0.0,0.0,1.0,0.33,30.61,1.74,5.91,33.66,0.0
131,920.0,925.0,1.0,0.0,1.36,0.0,0.0,27.0,0.0,0.0,0.0,0.33,74.85666666666667,0.0,9.170000000000002,75.57333333333334,0.0
132,920.0,925.0,1.0,0.0,0.51,0.0,0.0,28.0,0.0,0.0,0.0,0.1,176.77,5.0,11.13,176.41,0.0
133,920.0,925.0,1.0,0.0,41.85,0.0,9.0,3.0,0.0,0.0,0.0,5.54,35.55,138.13,18.68,35.34,0.0
135,920.0,925.0,1.0,0.0,41.33,0.0,3.0,5.0,1.0,1.0,0.0,3.26,18.66,32.18,8.56,18.19,10.0
136,920.0,925.0,1.0,0.0,5.13,0.0,1.0,6.0,0.0,0.0,0.0,0.64,7.84,2.83,14.61,7.56,0.0
137,920.0,925.0,1.0,7.0,26.74,0.0,0.0,7.0,1.0,1.0,0.0,3.54,35.15,92.18,19.73,34.95,0.0
138,920.0,925.0,1.0,0.0,23.58,2.0,0.0,8.0,3.0,3.0,1.0,3.13,31.65,74.99,20.22,31.46,0.0
139,920.0,925.0,1.0,0.0,28.8,0.0,1.0,9.0,3.0,3.0,0.0,2.87,17.43,24.72,10.07,17.04,3.0
140,925.0,930.0,1.0,0.0,25.75,3.0,0.0,1.0,4.0,4.0,1.0,3.43,66.46,165.49,19.4,66.25,0.0
142,925.0,930.0,1.0,0.0,37.18,0.0,1.0,11.0,0.0,0.0,3.0,2.42,13.16,28.22,11.84,12.87,1.0
143,925.0,930.0,1.0,0.0,75.49,0.0,3.0,12.0,0.0,0.0,5.0,10.01,21.11,141.14,17.9,20.89,0.0
144,925.0,930.0,1.0,1.0,6.59,0.0,5.0,13.0,0.0,0.0,0.0,0.87,62.75,40.22,19.52,62.56,0.0
145,925.0,930.0,1.0,0.0,15.53,1.0,0.0,14.0,3.0,3.0,1.0,3.1,95.27,143.78,19.48,95.08,0.0
146,925.0,930.0,1.0,0.0,76.07,0.0,1.0,15.0,2.0,2.0,0.0,6.09,55.58,110.0,5.28,54.82,76.0
147,925.0,930.0,1.0,1.0,21.45,0.0,0.0,16.0,0.0,0.0,0.0,4.29,83.19,170.53,19.17,82.99,0.0
148,925.0,930.0,1.0,0.0,12.27,1.0,0.0,17.0,3.0,3.0,1.0,1.63,44.17,52.0,19.28,43.97,0.0
149,925.0,930.0,1.0,0.0,66.94,0.0,0.0,18.0,0.0,0.0,0.0,5.36,96.41,95.0,2.99,95.07,72.0
150,925.0,930.0,1.0,0.0,2.5733333333333337,0.0,0.0,19.0,0.0,0.0,0.0,0.5633333333333334,21.07,0.0,11.660000000000002,21.846666666666664,0.0
151,925.0,930.0,1.0,0.0,49.83,0.0,1.0,2.0,2.0,2.0,6.0,3.29,19.91,70.79,14.47,19.64,0.0
152,925.0,930.0,1.0,0.0,11.77,0.0,0.0,20.0,0.0,0.0,0.0,2.35,97.99,110.0,19.12,97.78,0.0
153,925.0,930.0,1.0,0.0,3.06,0.0,0.0,21.0,0.0,0.0,0.0,0.61,166.71,30.0,11.8,166.37,0.0
154,925.0,930.0,1.0,0.0,14.41,0.0,0.0,22.0,0.0,0.0,0.0,2.88,51.04,15.0,4.16,50.08,10.0
155,925.0,930.0,1.0,0.0,1.36,0.0,0.0,23.0,0.0,0.0,0.0,0.33,75.59666666666668,0.0,9.123333333333333,76.31,0.0
156,925.0,930.0,1.0,0.0,3.64,0.0,0.0,24.0,0.0,0.0,0.0,0.73,55.39,10.0,9.99,54.99,0.0
157,925.0,930.0,1.0,0.0,5.46,0.0,0.0,25.0,0.0,0.0,0.0,1.09,29.57,15.0,18.71,29.36,0.0
158,925.0,930.0,1.0,0.0,1.36,0.0,0.0,26.0,0.0,0.0,0.0,0.33,75.59666666666668,0.0,9.123333333333333,76.31,0.0
159,925.0,930.0,1.0,0.0,1.36,0.0,0.0,27.0,0.0,0.0,0.0,0.33,75.59666666666668,0.0,9.123333333333333,76.31,0.0
160,925.0,930.0,1.0,0.0,0.51,0.0,0.0,28.0,0.0,0.0,0.0,0.1,178.99,5.0,10.99,178.62,0.0
161,925.0,930.0,1.0,0.0,52.94,0.0,6.0,3.0,0.0,0.0,0.0,7.03,35.95,174.73,18.47,35.74,0.0
162,925.0,930.0,1.0,3.0,39.81,3.0,0.0,4.0,3.0,3.0,2.0,5.29,64.24,241.47,18.95,64.0,0.0
163,925.0,930.0,1.0,0.0,60.92,0.0,2.0,5.0,1.0,1.0,0.0,4.84,18.86,47.44,8.47,18.39,10.0
164,925.0,930.0,1.0,0.0,6.37,0.0,0.0,6.0,0.0,0.0,1.0,0.83,5.51,3.52,20.76,5.33,0.0
165,925.0,930.0,1.0,2.0,20.5,0.0,1.0,7.0,2.0,2.0,0.0,2.72,35.28,70.68,19.66,35.09,0.0
166,925.0,930.0,1.0,0.0,23.03,2.0,0.0,8.0,1.0,1.0,2.0,3.05,31.73,73.24,20.17,31.52,0.0
167,925.0,930.0,1.0,0.0,40.95,0.0,3.0,9.0,1.0,1.0,0.0,4.06,22.9,35.15,7.67,22.37,15.0
168,930.0,935.0,1.0,0.0,27.03,3.0,0.0,1.0,3.0,3.0,1.0,3.6,66.43,173.71,19.41,66.22,0.0
170,930.0,935.0,1.0,0.0,38.49,0.0,3.0,11.0,1.0,1.0,1.0,2.51,14.84,29.22,10.5,14.49,5.0
171,930.0,935.0,1.0,0.0,66.17,0.0,2.0,12.0,1.0,1.0,6.0,8.75,21.01,123.72,17.99,20.79,0.0
172,930.0,935.0,1.0,0.0,11.32,0.0,6.0,13.0,1.0,1.0,0.0,1.49,64.92,69.08,18.87,64.7,0.0
173,930.0,935.0,1.0,0.0,15.28,1.0,0.0,14.0,2.0,2.0,1.0,3.05,96.57,141.43,19.22,96.36,0.0
174,930.0,935.0,1.0,0.0,80.44,0.0,1.0,15.0,1.0,1.0,0.0,6.42,69.97,116.32,4.19,69.01,75.0
175,930.0,935.0,1.0,1.0,21.26,0.0,1.0,16.0,0.0,0.0,0.0,4.24,84.03,169.08,18.97,83.83,0.0
176,930.0,935.0,1.0,0.0,11.92,1.0,0.0,17.0,1.0,1.0,1.0,1.58,44.76,50.51,19.03,44.57,0.0
177,930.0,935.0,1.0,0.0,71.15,0.0,2.0,18.0,1.0,1.0,0.0,5.68,100.16,100.98,2.87,98.77,80.0
178,930.0,935.0,1.0,0.0,3.3866666666666667,0.0,0.0,19.0,0.0,0.0,0.0,0.7866666666666667,23.290000000000003,0.0,9.823333333333332,22.87,0.0
